sector,ticker_a,ticker_b,beta,n_rows,n_events,label_mean,best_threshold,val_auc,test_accuracy,test_balanced_accuracy,test_f1,test_auc,trade_count,trade_win_rate,avg_pnl_proxy,total_pnl_proxy,max_drawdown_proxy,validation_start_date,test_start_date
Healthcare,MRK,ISRG,0.23538661888489457,1572,811,0.3625154197216034,0.45,0.5510012515644556,0.3558282208588957,0.49680127948820474,0.378698224852071,0.5003998400639744,159,0.49056603773584906,-0.00044571253938494997,-0.07086829376220705,1.2528179435729974,2023-11-29,2025-03-13
Consumer_Disc,NKE,TGT,0.6508159005155675,1572,810,0.3592592477798462,0.5,0.4653312788906009,0.5432098765432098,0.4333050127442651,0.11904761904761904,0.44791843670348347,29,0.5517241379310345,-0.0025206858371866164,-0.07309988927841188,0.45534870100021363,2023-12-13,2025-01-31
Utilities,DUK,PEG,0.8740684819497198,1572,769,0.4265279471874237,0.45,0.4453166815343443,0.5324675324675324,0.5321428571428571,0.5068493150684932,0.53078231292517,138,0.5144927536231884,-0.0005350760376971706,-0.07384049320220953,0.2616269659996033,2023-12-11,2025-01-17
Healthcare,LLY,ABBV,1.4492862782058307,1572,791,0.34260430932044983,0.46,0.5804421768707483,0.559748427672956,0.5084026888604354,0.05405405405405406,0.5152048655569782,52,0.4230769230769231,-0.0015753033252862787,-0.0819157729148865,0.509470030784607,2023-10-10,2025-02-14
Financials,BAC,C,0.8565774714603842,1572,829,0.34016886353492737,0.54,0.49818181818181817,0.3855421686746988,0.442955064737243,0.4742268041237113,0.43290175171363293,96,0.5,-0.0008872745456874331,-0.08517835638599358,0.29302700535953047,2023-10-09,2025-02-18
Healthcare,LLY,MRK,1.9635838739683926,1572,804,0.33457711338996887,0.45,0.6038293897882939,0.7142857142857143,0.5306122448979592,0.11538461538461539,0.4610058309037901,32,0.5,-0.0026692328155040745,-0.08541545009613039,0.967660696029663,2023-10-10,2025-01-30
Energy,EOG,DVN,0.6122977735981223,1572,752,0.4401595890522003,0.49000000000000005,0.5633116883116883,0.5562913907284768,0.6092896174863388,0.6171428571428571,0.6948998178506375,133,0.46616541353383456,-0.0006482551259205758,-0.08621793174743658,0.31780329322814943,2023-12-13,2025-03-06
Communications,META,DIS,0.6879127014923794,1572,787,0.38754764199256897,0.6000000000000001,0.5313111545988258,0.4177215189873418,0.4978590250329381,0.5855855855855856,0.5065876152832675,65,0.5076923076923077,-0.0014023006145770737,-0.0911495399475098,0.5344194374084472,2023-09-28,2025-01-23
Real_Estate,O,EQR,0.5202495144685583,1572,828,0.3635265827178955,0.46,0.4939471440750213,0.5963855421686747,0.5233630952380952,0.10666666666666667,0.446577380952381,114,0.4824561403508772,-0.0009130120862994283,-0.10408337783813482,0.31677663993835453,2023-11-01,2024-12-30
Energy,SLB,DVN,0.521033963664501,1572,818,0.342298299074173,0.49000000000000005,0.5605263157894738,0.5853658536585366,0.4583819849874896,0.10526315789473684,0.5556296914095079,38,0.5,-0.002887492280257376,-0.10972470664978029,0.40272901344299317,2023-11-24,2025-02-20
Healthcare,ABBV,UNH,1.0523493263339097,1572,809,0.31644004583358765,0.53,0.4235253772290809,0.5555555555555556,0.6073513513513513,0.41935483870967744,0.6767567567567567,35,0.5428571428571428,-0.003442583390644619,-0.12049041867256166,0.7313740897178649,2024-01-12,2025-02-24
Consumer_Staples,CL,KMB,0.4703906228941809,1572,812,0.33128079771995544,0.47000000000000003,0.5653533458411507,0.656441717791411,0.5087719298245614,0.034482758620689655,0.508606421714664,29,0.4482758620689655,-0.0042075815529658885,-0.12201986503601076,0.13241697883605957,2023-11-22,2025-01-07
Tech,AAPL,NVDA,0.48538817201302514,1572,803,0.3536737263202667,0.5,0.4403651903651904,0.5341614906832298,0.45861678004535145,0.15730337078651685,0.4285714285714285,26,0.6153846153846154,-0.004832670798668495,-0.12564944076538087,0.23722114753723145,2024-01-03,2025-01-17
Communications,META,TMUS,-0.039458697458493244,1572,801,0.38826465606689453,0.5900000000000001,0.6808189293505621,0.43478260869565216,0.5583333333333333,0.542713567839196,0.55,53,0.49056603773584906,-0.0024585681411455266,-0.13030411148071291,0.5107726516723633,2024-01-23,2025-03-07
Communications,T,CMCSA,0.08262753733052233,1572,802,0.38154613971710205,0.49000000000000005,0.622063492063492,0.5714285714285714,0.5983974358974359,0.5818181818181818,0.6342948717948719,155,0.5032258064516129,-0.0008554897923623366,-0.13260091781616218,0.7028611888885499,2023-11-27,2025-02-11
Consumer_Disc,MCD,SONO,0.08880734089385674,1572,791,0.38305941224098206,0.53,0.5671296296296295,0.44025157232704404,0.43944197844007604,0.41830065359477125,0.4692454026632847,67,0.43283582089552236,-0.0020213311608157946,-0.13542918777465823,0.33559210205078127,2023-11-09,2025-01-14
Real_Estate,O,SPG,0.3083561882276915,1572,801,0.3745318353176117,0.53,0.48637015781922527,0.5838509316770186,0.5838014981273408,0.5562913907284768,0.5813046192259675,20,0.25,-0.007155442714691163,-0.14310885429382325,0.15012614059448243,2023-11-01,2024-12-18
Energy,CVX,FANG,0.5492528441057171,1572,864,0.3263888955116272,0.45,0.4223467164643635,0.48554913294797686,0.5352360817477096,0.38620689655172413,0.5715292459478506,149,0.4966442953020134,-0.0009891373167101973,-0.1473814601898194,0.8369308509826661,2023-12-08,2025-02-24
Communications,NFLX,PSKY,0.32695066831864006,1572,862,0.3445475697517395,0.48000000000000004,0.4483404255319149,0.5549132947976878,0.5310781078107811,0.42105263157894735,0.5099009900990099,131,0.5038167938931297,-0.0011372582821445616,-0.14898083496093756,1.3024343051910396,2024-01-23,2025-02-07
