,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
COST,-0.2615789509340497,-0.2615789509340493,0.21236658458847335,0.21236658458847243,0.08797755847378665,-0.08797755847378876,-0.07240943099609991,-0.07240943099611034,-0.49755480902916716,0.49755480902915744,0.192744789345953,-0.19274478934595282,0.04564056832960678,-0.04564056832960645,0.04419546631334729,0.04419546631334279,-0.1437064440288263,0.143706444028836,-0.25316896552046103,-0.2531689655204733
PEP,-0.41560594966032227,-0.41560594966032144,0.20793356356775505,0.20793356356775275,-0.34143357063725027,0.3414335706372521,0.07901059657336372,0.07901059657335469,-0.09823047201527392,0.0982304720152944,-0.012041792358045684,0.01204179235804622,-0.3410451708058577,0.34104517080585117,-0.04101687758174667,-0.04101687758175182,-0.09804508793485729,0.09804508793485325,0.15431949902631642,0.15431949902630906
CL,-0.40371534374712975,-0.40371534374712953,0.16582815537854012,0.16582815537853934,0.1641572001918899,-0.16415720019188637,0.09140617623227396,0.09140617623226993,0.00948549900396581,-0.009485499003963756,0.15781700889041722,-0.1578170088904185,-1.1388894014693717e-05,1.1388894016007143e-05,-0.22256082924530093,-0.222560829245296,0.3614226403191849,-0.36142264031921006,0.2627859165039186,0.26278591650393496
HSY,-0.1573453921572734,-0.1573453921572735,-0.27959893270103114,-0.2795989327010306,-0.049111659133210944,0.04911165913321417,-0.05205548389886642,-0.05205548389886598,-0.11688191030464783,0.11688191030464169,0.28928796729641415,-0.2892879672964142,0.3464799066329833,-0.3464799066329875,-0.3590321947706142,-0.359032194770616,-0.03025084584629672,0.030250845846288336,0.2114915381214572,0.21149153812145194
MKC,-0.4128942538584909,-0.41289425385849043,0.3506844883659548,0.3506844883659557,0.27154570271823747,-0.2715457027182355,-0.16142038398552566,-0.16142038398553518,-0.22519853495157977,0.22519853495155637,0.11567957681128914,-0.11567957681129036,-0.057120206388772965,0.0571202063887761,-0.14647276155208308,-0.14647276155208025,0.0763568093532347,-0.07635680935323691,0.11000736745601396,0.11000736745603046
PG,-0.3336371200174302,-0.33363712001742957,0.17179675430858957,0.17179675430858912,-0.07435947352491419,0.07435947352490954,-0.03896098991624319,-0.03896098991625493,-0.4274538721524162,0.42745387215243297,-0.0316332839099229,0.03163328390992207,-0.34612210132563004,0.3461221013256305,-0.0956141128241303,-0.09561411282413017,0.1212657972184827,-0.12126579721848198,0.1573512588957531,0.15735125889574275
KO,-0.11648981060127393,-0.1164898106012732,0.4616095217657953,0.4616095217657937,-0.19256856496556599,0.19256856496556451,0.21416716832555754,0.21416716832556046,0.1196492699673602,-0.11964926996736142,-0.1248327002220067,0.1248327002220076,0.08878447146262707,-0.08878447146262748,0.17064360979168824,0.17064360979168633,0.1056626113623063,-0.10566261136230942,0.33515799709357125,0.3351579970935605
KMB,-0.17217636010498788,-0.1721763601049873,0.16671703990091838,0.16671703990091857,-0.05745004530842243,0.057450045308415895,0.22986192262391036,0.2298619226239095,-0.066249589086713,0.0662495890866923,-0.08476324028089237,0.08476324028089159,-0.3162284776124059,0.3162284776124034,-0.2569443402810493,-0.25694434028104746,0.4392176836089746,-0.4392176836090025,0.1261621410801474,0.12616214108018955
GIS,-0.04717093959748681,-0.047170939597487,0.08295900386337977,0.0829590038633807,0.41256148511339763,-0.41256148511340063,0.10310764378292334,0.10310764378291126,-0.45087937271531997,0.45087937271530726,-0.02584855841724059,0.025848558417240035,-0.11060766558464694,0.11060766558464616,-0.06611676942016277,-0.06611676942015966,0.29796502072466,-0.29796502072466197,-0.026562148963369236,-0.026562148963355982
WMT,-0.27799276795150935,-0.2779927679515088,0.3356169735851116,0.3356169735851111,0.10420058888719422,-0.10420058888719964,0.1204269625431017,0.12042696254309301,-0.3557996729009455,0.355799672900957,-0.05742586637950922,0.05742586637950878,-0.15989633887762597,0.1598963388776295,0.119732421782135,0.11973242178213697,-0.03451426205608112,0.03451426205609,-0.33724736961614626,-0.3372473696161545
AXP,-0.11790416073043163,-0.11790416073043174,-0.265342763921838,-0.2653427639218387,-0.1366654742453043,0.13666547424530479,-0.00974569438218406,-0.009745694382186193,-0.21303339095047324,0.21303339095048415,-0.20597955209824706,0.20597955209824842,0.4911765040785992,-0.4911765040786015,-0.03978735223276739,-0.039787352232769656,-0.0033419277865441768,0.0033419277865413015,-0.25741024557452274,-0.25741024557450976
